'Test Type,Test Description
0,
'Version
1.1.0
'Time Stamp
2018-06-25 11:55:07:279
'Access specifications
'Access specification name,default assignment
64 KiB; 100% Read; 0% random,0
'size,% of size,% reads,% random,delay,burst,align,reply
65536,100,100,0,0,1,0,0,
'End access specifications
'Results
TimeStamp,'Target Type,Target Name,Access Specification Name,# Managers,# Workers,# Disks,IOps,Read IOps,Write IOps,MBps (Binary),Read MBps (Binary),Write MBps (Binary),MBps (Decimal),Read MBps (Decimal),Write MBps (Decimal),Transactions per Second,Connections per Second,Average Response Time,Average Read Response Time,Average Write Response Time,Average Transaction Time,Average Connection Time,Maximum Response Time,Maximum Read Response Time,Maximum Write Response Time,Maximum Transaction Time,Maximum Connection Time,Errors,Read Errors,Write Errors,Bytes Read,Bytes Written,Read I/Os,Write I/Os,Connections,Transactions per Connection,Total Raw Read Response Time,Total Raw Write Response Time,Total Raw Transaction Time,Total Raw Connection Time,Maximum Raw Read Response Time,Maximum Raw Write Response Time,Maximum Raw Transaction Time,Maximum Raw Connection Time,Total Raw Run Time,Starting Sector,Maximum Size,Queue Depth,% CPU Utilization,% User Time,% Privileged Time,% DPC Time,% Interrupt Time,Processor Speed,Interrupts per Second,CPU Effectiveness,Packets/Second,Packet Errors,Segments Retransmitted/Second,0 to 50 uS,50 to 100 uS,100 to 200 uS,200 to 500 uS,0.5 to 1 mS,1 to 2 mS,2 to 5 mS,5 to 10 mS,10 to 15 mS,15 to 20 mS,20 to 30 mS,30 to 50 mS,50 to 100 mS,100 to 200 mS,200 to 500 mS,0.5 to 1 S,1 to 2 s,2 to 4.7 s,4.7 to 5 s,5 to 10 s, >= 10 s
2018-06-25 11:55:34:601,WORKER,Worker 1,,,,1,6473.08,6473.08,0,404.568,404.568,0,424.22,424.22,0,6473.08,0,0.154256,0.154256,0,0.154256,0,10.2305,10.2305,0,10.2305,0,0,0,0,720437248,0,10993,0,0,-1,6637222,0,6637222,0,40043,0,40043,0,0,0,0,1,,,,,,3.91406e+006,,,,,,2662,4002,798,3354,139,21,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:35:602,WORKER,Worker 1,,,,1,6589.12,6589.12,0,411.82,411.82,0,431.825,431.825,0,6589.12,0,0.151575,0.151575,0,0.151575,0,3.08273,3.08273,0,3.08273,0,0,0,0,432340992,0,6597,0,0,-1,3913819,0,3913819,0,12066,0,12066,0,0,0,0,1,,,,,,3.91406e+006,,,,,,2066,1903,466,2054,74,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:37:579,WORKER,Worker 1,,,,1,6448.8,6448.8,0,403.05,403.05,0,422.628,422.628,0,6448.8,0,0.154669,0.154669,0,0.154669,0,3.10164,3.10164,0,3.10164,0,0,0,0,835190784,0,12744,0,0,-1,7715020,0,7715020,0,12140,0,12140,0,0,0,0,1,,,,,,3.91406e+006,,,,,,3205,4561,865,3899,155,35,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:39:084,WORKER,Worker 1,,,,1,6160.32,6160.32,0,385.02,385.02,0,403.723,403.723,0,6160.32,0,0.162323,0.162323,0,0.162323,0,3.34052,3.34052,0,3.34052,0,0,0,0,607453184,0,9269,0,0,-1,5888987,0,5888987,0,13075,0,13075,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1977,3503,721,2888,133,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:40:543,WORKER,Worker 1,,,,1,6107.15,6107.15,0,381.697,381.697,0,400.238,400.238,0,6107.15,0,0.163472,0.163472,0,0.163472,0,3.06536,3.06536,0,3.06536,0,0,0,0,583204864,0,8899,0,0,-1,5693928,0,5693928,0,11998,0,11998,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1408,3919,707,2702,121,23,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:41:542,WORKER,Worker 1,,,,1,6076.51,6076.51,0,379.782,379.782,0,398.23,398.23,0,6076.51,0,0.16435,0.16435,0,0.16435,0,3.10675,3.10675,0,3.10675,0,0,0,0,401866752,0,6132,0,0,-1,3944579,0,3944579,0,12160,0,12160,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1063,2612,488,1837,100,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:43:630,WORKER,Worker 1,,,,1,6275.16,6275.16,0,392.197,392.197,0,411.249,411.249,0,6275.16,0,0.159084,0.159084,0,0.159084,0,3.26719,3.26719,0,3.26719,0,0,0,0,855572480,0,13055,0,0,-1,8128905,0,8128905,0,12788,0,12788,0,0,0,0,1,,,,,,3.91406e+006,,,,,,2421,5748,891,3741,195,22,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:44:632,WORKER,Worker 1,,,,1,6158.55,6158.55,0,384.91,384.91,0,403.607,403.607,0,6158.55,0,0.162116,0.162116,0,0.162116,0,3.13408,3.13408,0,3.13408,0,0,0,0,404357120,0,6170,0,0,-1,3915072,0,3915072,0,12267,0,12267,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1167,2592,407,1887,88,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:46:213,WORKER,Worker 1,,,,1,6034.52,6034.52,0,377.158,377.158,0,395.478,395.478,0,6034.52,0,0.165474,0.165474,0,0.165474,0,2.8275,2.8275,0,2.8275,0,0,0,0,625410048,0,9543,0,0,-1,6180779,0,6180779,0,11067,0,11067,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1868,3704,673,3097,172,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:48:131,WORKER,Worker 1,,,,1,6006.47,6006.47,0,375.405,375.405,0,393.64,393.64,0,6006.47,0,0.166231,0.166231,0,0.166231,0,2.89597,2.89597,0,2.89597,0,0,0,0,755695616,0,11531,0,0,-1,7502494,0,7502494,0,11335,0,11335,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1810,5046,799,3651,176,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:50:083,WORKER,Worker 1,,,,1,6186.13,6186.13,0,386.633,386.633,0,405.414,405.414,0,6186.13,0,0.161383,0.161383,0,0.161383,0,3.03521,3.03521,0,3.03521,0,0,0,0,790102016,0,12056,0,0,-1,7615313,0,7615313,0,11880,0,11880,0,0,0,0,1,,,,,,3.91406e+006,,,,,,2175,5274,798,3564,189,31,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:51:073,WORKER,Worker 1,,,,1,6235.05,6235.05,0,389.69,389.69,0,408.62,408.62,0,6235.05,0,0.160143,0.160143,0,0.160143,0,3.0209,3.0209,0,3.0209,0,0,0,0,404815872,0,6177,0,0,-1,3871815,0,3871815,0,11824,0,11824,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1186,2629,422,1813,97,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:52:073,WORKER,Worker 1,,,,1,6249.15,6249.15,0,390.572,390.572,0,409.544,409.544,0,6249.15,0,0.159746,0.159746,0,0.159746,0,3.15503,3.15503,0,3.15503,0,0,0,0,410255360,0,6260,0,0,-1,3914111,0,3914111,0,12349,0,12349,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1279,2599,466,1779,97,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:53:087,WORKER,Worker 1,,,,1,6309.68,6309.68,0,394.355,394.355,0,413.511,413.511,0,6309.68,0,0.158221,0.158221,0,0.158221,0,3.05488,3.05488,0,3.05488,0,0,0,0,418643968,0,6388,0,0,-1,3955994,0,3955994,0,11957,0,11957,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1252,2684,452,1875,100,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:54:308,WORKER,Worker 1,,,,1,6343.52,6343.52,0,396.47,396.47,0,415.729,415.729,0,6343.52,0,0.157379,0.157379,0,0.157379,0,2.92203,2.92203,0,2.92203,0,0,0,0,507445248,0,7743,0,0,-1,4769617,0,4769617,0,11437,0,11437,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1768,3022,535,2281,103,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:55:321,WORKER,Worker 1,,,,1,5939.67,5939.67,0,371.23,371.23,0,389.262,389.262,0,5939.67,0,0.168086,0.168086,0,0.168086,0,3.1047,3.1047,0,3.1047,0,0,0,0,394199040,0,6015,0,0,-1,3957274,0,3957274,0,12152,0,12152,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1172,2394,419,1908,92,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
